hla1,hla2,sim
DQA1_0201__DQB1_0302,DQA1_0503__DQB1_0301,0.415
DQA1_0101__DQB1_0602,DQA1_0102__DQB1_0609,0.237
DQA1_0101__DQB1_0501,DQA1_0401__DQB1_0402,0.484
DQA1_0101__DQB1_0501,DQA1_0103__DQB1_0601,0.214
DQA1_0103__DQB1_0603,DQA1_0505__DQB1_0301,0.427
DQA1_0101__DQB1_0502,DQA1_0501__DQB1_0202,0.465
DRA_0101__DRB1_0401,DRA_0101__DRB1_1202,0.307
DQA1_0102__DQB1_0609,DQA1_0201__DQB1_0202,0.469
DQA1_0101__DQB1_0502,DQA1_0301__DQB1_0301,0.454
DRA_0101__DRB1_0803,DRA_0101__DRB1_1501,0.228
DRA_0101__DRB1_0408,DRA_0101__DRB1_1001,0.322
DRA_0101__DRB1_0101,DRA_0101__DRB1_1104,0.272
DRA_0101__DRB1_0102,DRA_0101__DRB1_0802,0.237
DRA_0101__DRB1_0404,DRA_0101__DRB1_1101,0.387
DRA_0101__DRB1_0403,DRA_0101__DRB1_1103,0.405
DQA1_0102__DQB1_0609,DQA1_0201__DQB1_0303,0.4
DRA_0101__DRB1_0403,DRA_0101__DRB1_1104,0.387
DQA1_0102__DQB1_0602,DQA1_0103__DQB1_0601,0.167
DQA1_0102__DQB1_0302,DQA1_0201__DQB1_0202,0.335
DQA1_0102__DQB1_0604,DQA1_0501__DQB1_0202,0.514
DQA1_0501__DQB1_0501,DQA1_0505__DQB1_0301,0.344
DRA_0101__DRB1_0301,DRA_0101__DRB1_1301,0.228
DQA1_0301__DQB1_0301,DQA1_0501__DQB1_0501,0.471
DQA1_0301__DQB1_0301,DQA1_0501__DQB1_0202,0.434
DQA1_0101__DQB1_0602,DQA1_0401__DQB1_0402,0.395
DRA_0101__DRB1_1201,DRA_0101__DRB1_1501,0.219
DRA_0101__DRB1_0802,DRA_0101__DRB1_1104,0.167
DRA_0101__DRB1_1103,DRA_0101__DRB1_1303,0.184
DRA_0101__DRB1_0411,DRA_0101__DRB1_1303,0.361
DRA_0101__DRB1_1301,DRA_0101__DRB1_1501,0.224
DQA1_0101__DQB1_0502,DQA1_0301__DQB1_0502,0.377
DQA1_0101__DQB1_0502,DQA1_0102__DQB1_0602,0.2
DQA1_0301__DQB1_0302,DQA1_0503__DQB1_0301,0.42
DRA_0101__DRB1_0802,DRA_0101__DRB1_1406,0.167
DRA_0101__DRB1_0101,DRA_0101__DRB1_0401,0.19
DQA1_0201__DQB1_0202,DQA1_0501__DQB1_0301,0.447
DQA1_0301__DQB1_0301,DQA1_0503__DQB1_0301,0.349
DRA_0101__DRB1_0403,DRA_0101__DRB1_1406,0.3
DRA_0101__DRB1_0301,DRA_0101__DRB1_1401,0.141
DQA1_0201__DQB1_0302,DQA1_0401__DQB1_0402,0.402
DQA1_0201__DQB1_0302,DQA1_0201__DQB1_0303,0.089
DQA1_0201__DQB1_0303,DQA1_0501__DQB1_0201,0.445
